idindicador,idunidad,iddepto,nomdepto,2005,2006,2007,2008,2009,2010
ttdiesti,20,76,valle del cauca,18.72,17.97,17.23,16.48,15.73,14.98
pcrperca,1,88,san andres,99.59100204,99.78308026,99.67707212,99.40758294,99.31271478,99.87878788
ttdiesti,20,20,cesar,34.84,34.84,34.84,34.84,34.84,34.84
ttdiesti,20,54,n.santander,14.93,14.6,14.27,13.93,13.6,13.27
ttdiesti,20,76,valle del cauca,15.17,14.72,14.26,13.81,13.35,12.9
pcrparin,1,73,tolima,99.42,100,100,99.08,98.94,100
pcrparin,1,68,santander,88,100,100,98.59,100,100
ttdiesti,20,25,cundinamarca,12.85,12.71,12.57,12.43,12.28,12.14
ttdiesti,20,17,caldas,21.24,20.39,19.54,18.69,17.84,16.99
ttdiesti,20,15,boyaca,34.5,34.5,34.5,34.5,34.5,34.5
ttdiesti,20,41,huila,20.61,20.15,19.7,19.24,18.78,18.32
ttdiesti,20,15,boyaca,25.51,25.51,25.51,25.51,25.51,25.51
pcrparin,1,25,cundinamarca,99.58,99.72,99.78,99.49,99.58,99.7
pcrparin,1,41,huila,98.58,98.64,99.57,97.57,95.89,92.79
cgrnacim,17,76,valle del cauca,23295,22794,21994,21651,20715,19567
pcrparin,1,13,bolivar,99.39,99.7,99.63,99.82,99.63,99.76
ttdnesti,20,5,antioquia,25.13043183,23.88272928,22.63502674,21.38732419,20.13962165,18.8919191
ttdiesti,20,68,santander,18.46,18.46,18.46,18.46,18.46,18.46
ttdiesti,20,25,cundinamarca,20.39,20.16,19.94,19.71,19.48,19.26
rgrtgfec,3,47,magdalena,NA,NA,NA,NA,NA,NA
pcrparin,1,52,narino,93.55,93.04,90.76,90.1,97.73,89.11
ttdiesti,20,68,santander,13.17,12.77,12.38,11.98,11.59,11.19
pbretaia,1,15,boyaca,NA,NA,NA,NA,NA,44.44444444
pcrperca,1,44,la guajira,94.55752599,94.39183673,94.64809384,93.5106466,95.85072042,96.12624368
ttdiesti,20,95,guaviare,37.11,36.29,35.46,34.64,33.81,32.99
pbepredg,1,94,guainia,NA,NA,NA,NA,NA,6.1
cgrnacim,17,81,arauca,62297,61417,60487,60377,58381,54562
pcrparin,1,73,tolima,97.01,93.42,98.08,95.38,98.63,100
ttdiesti,20,25,cundinamarca,17.53,17.14,16.75,16.36,15.97,15.58
pcrparin,1,17,caldas,96.47,97.7,98.88,97.55,96.36,97.24
pcrparin,1,54,n.santander,100,100,100,100,100,100
rtrmorpu,4,63,quindio,66.68,14.1,85.75,29.71,0,65.03
ttdiesti,20,76,valle del cauca,16.85,16.35,15.84,15.33,14.83,14.32
pcrparin,1,25,cundinamarca,97.78,100,100,97.78,98,98.21
ttdiesti,20,52,narino,39.24,39.24,39.24,39.24,39.24,39.24
pcrparin,1,54,n.santander,90.24,92.65,93.44,97.18,96.92,96.49
ttdiesti,20,20,cesar,23.6,23.08,22.55,22.03,21.51,20.98
pcrparin,1,23,cordoba,98.66,99.07,99.42,100,99.44,100
ttdiesti,20,15,boyaca,19.9,19.1,18.31,17.51,16.71,15.92
pcrparin,1,5,antioquia,98.48,99.29,99.22,99.02,99.03,98.98
pbehtaco,1,13,bolivar,NA,NA,10.3,NA,NA,NA
pbepredc,1,63,quindio,NA,NA,NA,NA,NA,9.6
pcrparin,1,17,caldas,98.37,97.92,97.67,97.61,97.4,99.15
ttdiesti,20,15,boyaca,20.64,19.82,18.99,18.17,17.34,16.52
pcrparin,1,52,narino,90.66371493,93.19105237,94.07134182,94.69548134,95.98133137,96.68071936
pcrparin,1,25,cundinamarca,99.02,99.51,99.07,98.81,100,98.82
ttdiesti,20,5,antioquia,34.05,34.05,34.05,34.05,34.05,34.05
igrtgfec,2,23,cordoba,NA,NA,NA,NA,NA,NA
pgeembar,1,41,huila,19,NA,NA,NA,NA,19.3
ttdiesti,20,25,cundinamarca,22.98,22.38,21.78,21.17,20.57,19.97
pbrmivih,1,18,caqueta,NA,NA,NA,NA,20,8.3
ttdiesti,20,76,valle del cauca,14.39,14.04,13.7,13.35,13.01,12.66
pcrparin,1,68,santander,100,94.44,100,100,0,100
pcrparin,1,5,antioquia,98.81,99.43,99.79,99.01,99.59,99.78
ttdnesti,20,19,cauca,63.90372979,56.89703138,49.89033296,42.88363455,35.87693614,28.87023772
pcrparin,1,76,valle del cauca,99.81,99.82,99.58,100,99.78,100
pcrparin,1,41,huila,91.78,93.75,98.43,98.55,98.44,97.42
pcrparin,1,15,boyaca,96.34,96.5,97.58,99.37,99.44,99.47
pbehtaco,1,11,bogota,NA,NA,8,NA,NA,NA
pcrparin,1,8,atlantico,99.44,98.86,98.15,99.48,99.74,99.63
ttdiesti,20,70,sucre,28.96,28.53,28.1,27.67,27.24,26.81
ttdiesti,20,68,santander,25.04,24.66,24.28,23.9,23.52,23.14
pcrparin,1,52,narino,93.14,96.05,95.56,97.44,98.91,98.77
ttdiesti,20,25,cundinamarca,12.19,12.05,11.92,11.78,11.65,11.51
pcrparin,1,68,santander,98.46,97.56,96.43,100,100,100
pcrperca,1,68,santander,95.34635563,96.49756605,97.4127143,98.36055564,98.95774741,99.28848424
ttdiesti,20,20,cesar,22.32,21.83,21.33,20.83,20.34,19.84
ttdiesti,20,52,narino,22.85,22.34,21.83,21.33,20.82,20.31
ttdiesti,20,5,antioquia,24.45,23.91,23.36,22.82,22.28,21.73
pbepredg,1,20,cesar,NA,NA,NA,NA,NA,3.3
pcrparin,1,47,magdalena,90.03,91.6,93.31,94.39,94.62,96.29
ttdiesti,20,76,valle del cauca,16.98,16.3,15.62,14.95,14.27,13.59
ttdiesti,20,52,narino,24.91,24.36,23.8,23.25,22.69,22.14
ttdiesti,20,5,antioquia,20.4,20.07,19.74,19.42,19.09,18.76
ttdiesti,20,8,atlantico,17.33,16.95,16.56,16.18,15.79,15.41
cgrnacim,17,11,bogota,610,594,585,1725,1980,1386
pcrparin,1,15,boyaca,96.3,95.59,98.28,96.83,94.74,92.73
ttdiesti,20,23,cordoba,28.1789394,27.63674613,27.09582031,26.55646732,26.0187539,25.48247773
pcrparin,1,54,n.santander,87.5,84.47,84.54,90.43,91.82,93.88
ttdiesti,20,68,santander,24.17,23.2,22.23,21.27,20.3,19.33
pbepredc,1,76,valle del cauca,NA,NA,NA,NA,NA,6
ttdiesti,20,25,cundinamarca,21.12,20.65,20.18,19.71,19.24,18.77
pcrparin,1,68,santander,100,98.04,96.72,100,96.08,100
pbehtaco,1,NA,NA,NA,NA,17.98,NA,NA,NA
ttdiesti,20,25,cundinamarca,18.05,17.85,17.65,17.45,17.25,17.05
ttdiesti,20,68,santander,20.61,20.61,20.61,20.61,20.61,20.61
pcrparin,1,73,tolima,96.82,95.52,93.87,96.83,98.7,97.65
ttdiesti,20,13,bolivar,28.38,27.75,27.12,26.49,25.86,25.23
pcrparin,1,18,caqueta,89.2,90.48,90.48,91.96,93.86,96.63
ttdiesti,20,20,cesar,29.79,29.13,28.47,27.8,27.14,26.48
rtrmorpu,4,17,caldas,35.51,83.18,45.65,111.97,87.09,73.54
ttdiesti,20,68,santander,25.6,24.57,23.55,22.53,21.5,20.48
ttdiesti,20,5,antioquia,7.84,7.79,7.75,7.7,7.65,7.6
pbehtaco,1,23,cordoba,NA,NA,6.7,NA,NA,NA
rtrmorpu,4,97,vaupes,0,349.04,566.04,0,161.81,0
ttdiesti,20,15,boyaca,22.23,21.9,21.58,21.25,20.93,20.6
ttdiesti,20,25,cundinamarca,15.37452093,15.1302714,14.88602442,14.6420095,14.39799669,14.15422801
pcrparin,1,68,santander,97.78,99.38,99.46,100,100,100
pcrparin,1,15,boyaca,99.63,99.77,99.45,99.63,99.48,99.67
ctrmormt,17,91,amazonas,2,0,2,4,5,0
pcrparin,1,25,cundinamarca,94.67,94.79,95.45,100,98.15,96.15
paemetmo,1,170,colombia,49.4,NA,NA,NA,NA,56.9
ptrldeng,1,70,sucre,NA,NA,0,0,0,13
pcrparin,1,63,quindio,97.56,98.72,100,100,97.33,98.25
ttdiesti,20,85,casanare,27.77,27.21,26.66,26.1,25.54,24.99
ptrldeng,1,81,arauca,NA,NA,1.96,0,6.52,4
pbretaia,1,NA,NA,NA,NA,NA,NA,NA,100
pcrparin,1,68,santander,96.67,96.73,99.04,97.12,99.01,98.47
ttdiesti,20,41,huila,19.71,19.28,18.84,18.4,17.96,17.52
ttdiesti,20,52,narino,25.77,25.6,25.43,25.26,25.09,24.92
ttdiesti,20,47,magdalena,20.76,20.3,19.84,19.38,18.92,18.46
ptrldeng,1,68,santander,NA,NA,0.24,0.2,0.3,1
pcrparin,1,41,huila,91.2,94.02,96.83,96.56,96.01,97.48
ttdiesti,20,8,atlantico,19.89,19.89,19.89,19.89,19.89,19.89
ttdiesti,20,44,la guajira,54.38,54.38,54.38,54.38,54.38,54.38
pcrparin,1,15,boyaca,93.75,100,96,100,100,100
pgeembar,1,8,atlantico,13.1,NA,NA,NA,NA,17.2
ttdnesti,20,76,vaupes,NA,NA,NA,NA,NA,NA
ttdiesti,20,5,antioquia,19.47,19.04,18.6,18.17,17.74,17.31
ttdiesti,20,15,boyaca,16.25,15.76,15.27,14.79,14.3,13.81
ttdiesti,20,25,cundinamarca,24.98,24.98,24.98,24.98,24.98,24.98
ttdiesti,20,5,antioquia,18.23,17.83,17.42,17.02,16.61,16.21
ttdiesti,20,47,magdalena,16.7,16.33,15.95,15.58,15.21,14.84
pcrparin,1,18,caqueta,99.26,98.93,96.8,98.96,98.84,99.18
ttdiesti,20,52,narino,23.26,22.74,22.22,21.71,21.19,20.67
ttdiesti,20,20,cesar,26.94,26.34,25.74,25.14,24.54,23.94
pcrparin,1,25,cundinamarca,100,100,100,98.39,100,98.41
pcrparin,1,76,valle del cauca,99.91,99.58,99.4,99.69,99.34,99.67
ttdiesti,20,76,valle del cauca,16.25,15.76,15.28,14.79,14.3,13.81
ttdiesti,20,44,la guajira,16.82,16.15,15.47,14.8,14.13,13.46
ttdiesti,20,41,huila,20.76,20.3,19.84,19.38,18.92,18.45
pcrparin,1,73,tolima,92.8096158,94.27919628,95.65336001,96.47591335,97.41733044,98.42592119
ttdiesti,20,5,antioquia,10.02,9.98,9.94,9.89,9.85,9.8
ttdiesti,20,47,magdalena,32.88,32.88,32.88,32.88,32.88,32.88
pcrparin,1,50,meta,60.8,66.57,67.97,84.24,85.43,87.91
pcrparin,1,25,cundinamarca,97.81,97.93,97.16,97.42,97.86,95.61
pcrparin,1,25,cundinamarca,99.02,98.81,98.7,99.46,99.38,99.15
ctrmormt,17,88,san andres,0,1,1,0,1,0
pcrparin,1,85,casanare,100,100,82.35,94.44,83.33,100
pcrparin,1,20,cesar,92.91311588,94.51412159,95.88105186,96.17613528,97.27521745,97.97462957
pcrparin,1,23,cordoba,97.59,99.57,99.5,98.98,99.46,99.49
pcrparin,1,15,boyaca,98.91,98.67,98.65,100,100,98.48
ttdiesti,20,5,antioquia,20.74,20.51,20.28,20.05,19.82,19.59
pcrparin,1,25,cundinamarca,99.52,99.74,99.6,99.87,99.81,99.93
ttdiesti,20,27,choco,49.36373362,48.24041212,47.13452785,46.04607246,44.97766972,43.93132688
ttdiesti,20,68,santander,21.06,20.22,19.38,18.53,17.69,16.85
pcrparin,1,5,antioquia,94.37,89.71,92.68,92.97,96.33,97.25
pcrparin,1,41,huila,90.63383318,93.82033187,95.02741359,95.52906835,95.99293465,96.61497326
ttdiesti,20,66,risaralda,19.37,18.79,18.21,17.63,17.05,16.47
pcrparin,1,41,huila,92.19,95.28,99.1,97.27,98.26,95.61
ttdiesti,20,18,caqueta,31.92,31.21,30.5,29.8,29.09,28.38
pcrparin,1,25,cundinamarca,97.22,100,100,100,97.22,100
ttdiesti,20,50,meta,24.69,24.14,23.59,23.04,22.49,21.95
ptrldeng,1,17,caldas,NA,NA,5.88,0,0,21
ttdiesti,20,50,meta,61.35,61.35,61.35,61.35,61.35,61.35
pcrperca,1,76,valle del cauca,98.32736729,98.78372438,99.16345661,99.13046359,99.18124047,99.25039405
pcrparin,1,70,sucre,100,99.07,98.04,99.11,97.2,100
pbehtaco,1,NA,NA,NA,NA,27.59,NA,NA,NA
pcrrncpn,1,20,cesar,81.57,83.33,84.14,84.77,85.04,84.71
pcrparin,1,15,boyaca,92.59,87.23,100,96.88,97.06,94.74
pcrparin,1,15,boyaca,87.5,94.23,95.83,100,97.44,93.18
ttdiesti,20,52,narino,33.5,33.22,32.93,32.65,32.36,32.08
ctrmormt,17,85,casanare,3,3,2,4,4,5
ttdiesti,20,73,tolima,24.33,24.04,23.75,23.46,23.17,22.88
