idindicador,idunidad,iddepto,nomdepto,2005,2006,2007,2008,2009,2010
pcrparin,1,68,santander,97.14,100,96.67,91.3,100,100
rgrtgfec,3,13,bolivar,NA,NA,NA,NA,NA,NA
pcrparin,1,17,caldas,98.26,98.64,99.63,99.03,99.8,99.42
ttdiesti,20,68,santander,30.25,30.25,30.25,30.25,30.25,30.25
pcrparin,1,25,cundinamarca,98.65,98.8,99.11,99.19,99.49,99.54
ctrmormt,17,17,caldas,5,11,6,14,10,8
pcrparin,1,88,san andres,100,100,97.62,95.83,100,100
pcrperca,1,18,caqueta,95.42005794,96.56610594,96.69727285,97.04535997,97.82905516,98.79233759
pcrparin,1,5,antioquia,100,100,98.51,97.1,100,98.11
pcrparin,1,73,tolima,95.87,97.64,100,99.3,100,100
pcrparin,1,15,boyaca,85.98,86.61,92.47,97.96,93.62,98.95
ttdiesti,20,76,valle del cauca,15.09110273,14.74977249,14.40758729,14.06440301,13.72034201,13.37525693
pcrparin,1,68,santander,96.94,98.89,94.19,98.57,100,98.82
pcrparin,1,86,putumayo,68.25,73.99,76.02,75.74,75.33,80.53
pcrparin,1,15,boyaca,97.65,99.43,98.25,99.58,99.12,99.53
pcrparin,1,5,antioquia,98.6,97.75,97.4,98.55,97.34,97.72
ttdnesti,20,17,caldas,20.00066356,19.1564286,18.31219364,17.46795869,16.62372373,15.77948877
ttdiesti,20,68,santander,16.37,16.37,16.37,16.37,16.37,16.37
pcrparin,1,13,bolivar,75,91.41,93.89,85.45,97.97,99.07
ttdiesti,20,66,risaralda,18.26,17.53,16.8,16.07,15.34,14.61
ttdiesti,20,41,huila,30.48,29.29,28.11,26.92,25.73,24.55
pcrparin,1,52,narino,79.84,79.84,89.14,83.98,96.75,98.9
pcrparin,1,13,bolivar,99.12,99.08,98.28,99.43,99.49,96.35
ttdiesti,20,41,huila,16.28,16.1,15.92,15.74,15.56,15.38
pcrparin,1,25,cundinamarca,100,99.05,100,99.11,100,100
igrtgfec,2,25,cundinamarca,NA,NA,NA,NA,NA,NA
pcrparin,1,15,boyaca,94.67,93.15,89.36,92.77,92.31,88.04
caelacex,5,15,boyaca,NA,NA,NA,NA,NA,4.5
ttdiesti,20,18,caqueta,17.67,17.28,16.89,16.5,16.1,15.71
pcrparin,1,5,antioquia,99.24,97.79,97.15,98.45,99.48,98.25
ttdiesti,20,95,guaviare,32.85,32.12,31.39,30.66,29.93,29.2
pcrparin,1,68,santander,82.63,88.24,86,92.02,96.73,98.1
pcrparin,1,17,caldas,95.8,95.02,96.91,96.04,95.79,97.36
pcrparin,1,15,boyaca,93.33,94.92,98.61,100,95.35,96.43
ttdiesti,20,15,boyaca,16.05,15.41,14.77,14.12,13.48,12.84
ttdiesti,20,68,santander,27.1,27.1,27.1,27.1,27.1,27.1
igrtgfec,2,44,la guajira,NA,NA,NA,NA,NA,NA
ttdiesti,20,20,cesar,21.1,20.63,20.16,19.69,19.23,18.76
ttdiesti,20,5,antioquia,11.56,11.42,11.29,11.15,11.01,10.87
pcrparin,1,63,quindio,96.39,97.18,100,97.73,98.82,98.36
ttdiesti,20,25,cundinamarca,18.42,18.02,17.61,17.2,16.79,16.38
pbepredg,1,27,choco,NA,NA,NA,NA,NA,6.3
igrtgfec,2,15,boyaca,NA,NA,NA,NA,NA,NA
ttdiesti,20,47,magdalena,21.78,21.29,20.81,20.33,19.84,19.36
igrtgfec,2,47,magdalena,NA,NA,NA,NA,NA,NA
pcrparin,1,54,n.santander,95.42,92.26,98.31,98.98,98.59,100
pcrparin,1,5,antioquia,82.62,86.28,81.58,91.5,98.82,97.79
pcrrncpn,1,23,cordoba,78.46,80.22,81.75,80.81,80.4,85.16
pcrparin,1,73,tolima,94.19,98.75,93.88,95.18,95.59,96.05
pcrparin,1,19,cauca,94.78,92.1,95.07,91.5,92.44,95.06
pcrrncpn,1,25,cundinamarca,86.02,85.87,86.18,85.85,85.41,87.5
ttdiesti,20,47,magdalena,25.67,25.1,24.53,23.96,23.39,22.82
ttdiesti,20,5,antioquia,15.92,15.75,15.57,15.39,15.21,15.04
caelacex,5,85,casanare,NA,NA,NA,NA,NA,4.6
rtrmorpu,4,88,san andres,0,108.46,107.64,0,114.55,0
ttdnesti,20,94,guainia,NA,NA,NA,NA,NA,NA
pcrparin,1,25,cundinamarca,97.5,98.62,98.54,99.34,97.67,99.17
ttdiesti,20,41,huila,24.87,24.32,23.77,23.22,22.66,22.11
pcrparin,1,19,cauca,98.76,99.5,99.19,99.74,98.94,99.29
pcrparin,1,27,choco,97.14,99.14,97.58,99.38,95.93,95.56
caelacex,5,68,santander,NA,NA,NA,NA,NA,2.9
ttdnesti,20,63,quindio,21.61257452,20.35863652,19.10469853,17.85076053,16.59682254,15.34288454
pcrparin,1,52,narino,68.97,68.93,84.68,94.9,98.53,98.72
pbepredc,1,68,santander,NA,NA,NA,NA,NA,8.6
ttdiesti,20,15,boyaca,21.07,20.22,19.38,18.54,17.7,16.85
pcrparin,1,54,n.santander,99.38,100,97.95,98.96,96.32,100
ttdiesti,20,5,antioquia,39.19,38.26,37.33,36.41,35.48,34.55
pcrparin,1,68,santander,94.87,94.44,91.89,93.18,100,88.24
pcrparin,1,19,cauca,89.74,90.48,98.42,96.27,93.48,94.92
pcrparin,1,27,choco,58.46,58.82,62.65,80.28,93.55,91.01
pcrparin,1,50,meta,95.03,90.82,95.5,97.65,97.99,98.56
pcrparin,1,25,cundinamarca,98.49,98.53,99.41,99.05,99.09,98.15
pcrparin,1,15,boyaca,99.64,99.57,99.65,99.75,99.57,99.73
ttdiesti,20,15,boyaca,26.81,25.74,24.67,23.6,22.52,21.45
ttdiesti,20,27,choco,49.29,48.46,47.62,46.79,45.96,45.12
ttdiesti,20,68,santander,27.57,27.1,26.64,26.17,25.7,25.24
ttdiesti,20,5,antioquia,14.02,13.86,13.71,13.55,13.39,13.24
ttdiesti,20,41,huila,20.34,19.89,19.44,18.98,18.53,18.08
pcrparin,1,18,caqueta,97.62,95.4,98.89,95.38,100,96.88
pcrparin,1,25,cundinamarca,98.65,98.61,100,97.44,100,100
pcrparin,1,68,santander,96.19,98.45,99.38,100,97.5,97.97
pcrparin,1,15,boyaca,67.02,98.59,100,100,98.63,100
pcrparin,1,27,choco,96.67,92.31,93.02,92,92.5,86.67
pcrparin,1,5,antioquia,98.39,98.47,98.85,98.81,98.61,99.3
ttdiesti,20,15,boyaca,14.88,14.43,13.98,13.54,13.09,12.65
pcrparin,1,15,boyaca,90.48,90.76,96.67,89.25,100,96.51
pcrparin,1,44,la guajira,94.68856469,94.62857143,94.68882372,93.35465252,95.95307456,96.28119393
ttdiesti,20,17,caldas,16.38,15.72,15.07,14.41,13.76,13.1
pcrparin,1,41,huila,90.8,90.95,92.55,93.02,92.57,96.51
pcrparin,1,95,guaviare,98.08,97.65,89.83,100,83.95,91.78
pcrparin,1,68,santander,98.68,97.58,94.71,92.05,100,100
ttdiesti,20,50,meta,28.32,27.69,27.06,26.43,25.8,25.17
pbepredc,1,5,antioquia,11.4,NA,NA,NA,NA,10.2
pcrparin,1,95,guaviare,98.19,98.96,96.41,97.95,96.05,97.3
pcrparin,1,18,caqueta,96.75817354,97.49756708,97.21803481,97.86378138,98.18405243,99.00055525
pcrparin,1,13,bolivar,95.35,97.85,96.3,92.54,98.33,100
pcrparin,1,76,valle del cauca,99.79,100,99.39,99.77,99.3,99.75
pcrparin,1,54,n.santander,100,100,99.17,99.15,98.41,99.07
ttdiesti,20,73,tolima,28.01,28.01,28.01,28.01,28.01,28.01
igrtgfec,2,52,narino,NA,NA,NA,NA,NA,NA
pcrparin,1,68,santander,99.57,99.4,99.57,99.77,100,100
ttdiesti,20,5,antioquia,31.99,30.78,29.57,28.36,27.15,25.94
pcrparin,1,66,risaralda,98.67,98.92,95.51,98.63,97.67,100
ttdiesti,20,13,bolivar,27.01,26.41,25.81,25.21,24.61,24.01
ctrmormt,17,68,santander,17,17,12,13,13,13
ttdiesti,20,5,antioquia,29.32,28.67,28.02,27.37,26.72,26.06
ttdiesti,20,25,cundinamarca,11.78,11.73,11.68,11.62,11.57,11.52
pcrparin,1,76,valle del cauca,94.85,98.95,100,100,98.81,96.97
ttdiesti,20,52,narino,25.56,24.99,24.42,23.86,23.29,22.72
pcrparin,1,13,bolivar,99.47,100,98.86,97.22,96.69,100
pcrparin,1,5,antioquia,80,76.19,94.9,97.78,95.92,92.47
pcrparin,1,15,boyaca,100,100,98.25,98.28,97.96,98.25
pcrparin,1,41,huila,77.05,90,88.33,95.56,100,100
pbepredg,1,73,tolima,NA,NA,NA,NA,NA,2.2
pcrparin,1,25,cundinamarca,99.29,98.94,99.73,98.95,98.4,99.09
pcrparin,1,70,sucre,99.15,98.61,98.02,99.55,100,98.51
pcrparin,1,15,boyaca,98.78,95.65,100,100,97.06,98.21
ttdiesti,20,68,santander,26.45,25.39,24.33,23.27,22.22,21.16
pcrparin,1,54,n.santander,86,96.67,100,100,94.92,95.59
ttdiesti,20,23,cordoba,25.99,25.41,24.84,24.26,23.68,23.1
pcrparin,1,5,antioquia,90.32,94.85,95.65,95.56,93.85,100
ttdiesti,20,5,antioquia,15.48,15.31,15.14,14.97,14.8,14.62
rtrmorpu,4,13,bolivar,91.06,88.7,86.7,103.72,64.34,71.09
pcrparin,1,76,valle del cauca,100,98.77,98.82,99.26,98.81,100
pcrparin,1,52,narino,80.85,94.25,91.89,83.67,82.18,78.75
pcrparin,1,5,antioquia,98.36,99.03,99.23,99.23,96.95,98.23
pcrparin,1,99,vichada,95.52,100,97.26,93.55,94.59,91.38
rgrtgfec,3,81,arauca,NA,NA,NA,NA,NA,NA
pcrparin,1,5,antioquia,98.19,98.41,99.52,99,99.49,99.37
pbepredg,1,47,magdalena,NA,NA,NA,NA,NA,6.8
ttdiesti,20,91,amazonas,48.53,48.53,48.53,48.53,48.53,48.53
ttdiesti,20,5,antioquia,15.46,15.29,15.12,14.94,14.77,14.6
pcrparin,1,76,valle del cauca,98.75,97.06,100,100,100,100
ttdiesti,20,68,santander,21.87,21.87,21.87,21.87,21.87,21.87
ttdiesti,20,94,guainia,49.54,47.56,45.57,43.59,41.61,39.63
pcrparin,1,54,n.santander,95.59,95.77,91.53,98.18,98.25,100
pcrparin,1,23,cordoba,96.96,95.13,95.79,98.16,96.06,98.15
ttdiesti,20,54,n.santander,15.42,15.35,15.28,15.22,15.15,15.08
pcrparin,1,15,boyaca,97.62,97.73,96.3,94.63,98.7,100
ttdiesti,20,13,bolivar,27.25,26.64,26.03,25.43,24.82,24.22
pcrparin,1,68,santander,77.78,79.52,70.59,58.33,76.36,94
ttdiesti,20,19,cauca,19.74,19.3,18.86,18.43,17.99,17.55
ttdnesti,20,99,vichada,NA,NA,NA,NA,NA,NA
ttdiesti,20,15,boyaca,23.44,22.5,21.56,20.62,19.69,18.75
caelacex,5,NA,NA,1.1,NA,NA,NA,NA,0.6
pcrparin,1,41,huila,86.8,90.21,90.19,93.35,96.06,95.1
igrtgfec,2,81,arauca,NA,NA,NA,NA,NA,NA
ttdiesti,20,25,cundinamarca,12.95,12.8,12.66,12.51,12.37,12.23
pbrmivih,1,54,n.santander,NA,NA,NA,14.3,NA,5.9
pcrparin,1,15,boyaca,95.37,97.3,94.81,93.75,94.12,96.67
pcrparin,1,86,putumayo,91.67,90.83,90.98,93.47,91.42,93.05
pbepredg,1,170,colombia,7,NA,NA,NA,NA,3.4
pbehtaco,1,94,guainia,NA,NA,6.6,NA,NA,NA
pcrparin,1,15,boyaca,96.43,100,100,100,100,100
pcrparin,1,5,antioquia,97.02,98.21,98.14,99.37,99.31,99.61
ttdiesti,20,15,boyaca,24.43,23.45,22.47,21.5,20.52,19.54
pcrparin,1,70,sucre,99.16,98.99,99.42,99.61,99.39,99.59
ttdiesti,20,81,arauca,30.49922857,29.66660602,28.83668223,28.00938052,27.183132,26.35803046
pcrparin,1,68,santander,87.18,78.79,96.97,96.77,95.24,100
pcrparin,1,13,bolivar,85.43,97.71,98.16,95.58,97.15,97.83
pcrparin,1,25,cundinamarca,97.62,100,98.94,100,98.88,98.8
rgrtgfec,3,23,cordoba,NA,NA,NA,NA,NA,NA
pcrparin,1,20,cesar,97.32,98.87,94.38,95.4,100,98.18
pcrparin,1,68,santander,92.23,89.9,98.13,97.59,87.84,97.47
pbehtaco,1,52,narino,NA,NA,8.4,NA,NA,NA
pcrparin,1,18,caqueta,92.62,97.47,94.38,98.09,99.32,99.17
ttdiesti,20,85,casanare,28.57,28.57,28.57,28.57,28.57,28.57
pcrparin,1,15,boyaca,93.1,100,96.55,93.33,100,93.75
ttdiesti,20,70,sucre,23.55,23.02,22.5,21.98,21.45,20.93
pcrparin,1,66,risaralda,99.81,99.75,99.86,99.68,99.59,99.76
pcrparin,1,15,boyaca,100,100,94.12,98.28,100,97.67
ttdiesti,20,68,santander,20.68,20.06,19.44,18.82,18.2,17.58
pbepredc,1,19,cauca,15,NA,NA,NA,NA,23
ttdiesti,20,63,quindio,13.99,13.57,13.15,12.73,12.31,11.89
pcrparin,1,5,antioquia,95.12,98.52,96.21,98.85,99.48,99.42
ttdiesti,20,17,caldas,11.64,11.29,10.94,10.59,10.24,9.89
ttdiesti,20,85,casanare,31.04,31.04,31.04,31.04,31.04,31.04
ttdiesti,20,17,caldas,16.5,16.01,15.51,15.02,14.52,14.03
pcrparin,1,25,cundinamarca,100,97.22,100,100,96.55,100
pbrmivih,1,44,la guajira,NA,NA,NA,5,20,NA
pcrparin,1,25,cundinamarca,97.37,100,100,89.29,100,94.44
pcrparin,1,50,meta,66.94,51.72,98,95.74,86.55,87.12
ttdiesti,20,8,atlantico,28.08,28.08,28.08,28.08,28.08,28.08
ttdiesti,20,5,antioquia,10.04,9.99,9.95,9.9,9.86,9.81
pcrparin,1,15,boyaca,96.3,96.23,100,95.83,100,100
ttdiesti,20,41,huila,25.43,25.09,24.75,24.41,24.08,23.74
pcrparin,1,15,boyaca,96.55,100,100,96,96.97,100
ttdiesti,20,15,boyaca,19.06,18.3,17.54,16.78,16.01,15.25
ttdiesti,20,19,cauca,34.72,33.95,33.18,32.41,31.64,30.86
pbepredc,1,17,caldas,NA,NA,NA,NA,NA,13.5
pcrparin,1,94,guainia,NA,NA,NA,100,NA,NA
pcrparin,1,15,boyaca,98.11,98.82,97.03,98.81,98.44,98.57
pcrparin,1,73,tolima,86.99,89.05,90.6,91.94,96.46,99.15
ttdiesti,20,68,santander,36.31,36.31,36.31,36.31,36.31,36.31
pcrparin,1,47,magdalena,95,96.12,84.21,90.12,94.49,91.79
ttdiesti,20,5,antioquia,17.33,17.13,16.94,16.75,16.56,16.36
ttdiesti,20,76,valle del cauca,17.25,16.73,16.21,15.7,15.18,14.66
pcrparin,1,54,n.santander,98.21,97.69,97.91,98.06,96.82,99.51
ttdiesti,20,18,caqueta,25.72,25.15,24.58,24,23.43,22.86
ttdiesti,20,5,antioquia,9.55,9.51,9.47,9.42,9.38,9.34
pbrmivih,1,50,meta,NA,NA,NA,7.7,5.9,12.5
ttdiesti,20,25,cundinamarca,18.11,17.71,17.31,16.91,16.5,16.1
igrtgfec,2,19,cauca,NA,NA,NA,NA,NA,NA
pcrparin,1,19,cauca,0,0,99.09,100,98.65,98.02
ttdiesti,20,44,la guajira,53.81,53.81,53.81,53.81,53.81,53.81
caelacex,5,23,cordoba,NA,NA,NA,NA,NA,1
rgrtgfec,3,27,choco,NA,NA,NA,NA,NA,NA
caelacex,5,27,choco,NA,NA,NA,NA,NA,0.7
ttdiesti,20,15,boyaca,33.56,33.56,33.56,33.56,33.56,33.56
ttdiesti,20,20,cesar,21.54,21.06,20.58,20.11,19.63,19.15
ttdiesti,20,25,cundinamarca,14.22,14.06,13.9,13.74,13.59,13.43
pbrmivih,1,66,risaralda,NA,NA,NA,15.4,14.3,33.3
pcrparin,1,15,boyaca,93.59,95.5,96.69,99.24,97.83,97.09
rtrmorpu,4,68,santander,50.39,52.05,37.54,39.69,43.01,43.84
ptrldeng,1,97,vaupes,NA,NA,NA,0,NA,NA
ttdnesti,20,13,bolivar,52.92188682,47.76515312,42.60841942,37.45168571,32.29495201,27.13821831
ttdiesti,20,15,boyaca,20.7,19.87,19.04,18.21,17.38,16.56
ptrldeng,1,41,huila,NA,NA,25,0.31,0.68,1
igrtgfec,2,20,cesar,NA,NA,NA,NA,NA,NA
pcrparin,1,5,antioquia,98.7,98.8,96.61,100,97.92,100
pcrparin,1,76,valle del cauca,91.59,86.61,98.21,99.12,88.44,90.65
pcrparin,1,66,risaralda,98.07,96.67,98.73,98.74,96.67,96.53
pcrparin,1,13,bolivar,89.24,97.44,92.67,98.29,96.83,96.36
pcrparin,1,76,valle del cauca,94.91,94.24,96.97,96.82,96.84,98.47
ttdiesti,20,81,arauca,29.22,28.52,27.83,27.13,26.44,25.74
ttdiesti,20,13,bolivar,21.34,21.1,20.87,20.63,20.39,20.15
pcrparin,1,73,tolima,99.17,100,100,98.43,96.4,96.97
pcrparin,1,54,n.santander,100,100,99.06,98.8,98.98,100
pcrparin,1,5,antioquia,94.69,95.1,96.88,97.3,91.25,92.23
pcrparin,1,97,vaupes,48.19,50.62,63.38,52.65,52.27,51.54
pcrparin,1,20,cesar,97.85,95.03,89.53,94.2,99.31,98.09
ttdiesti,20,63,quindio,16.46,15.97,15.48,14.98,14.49,13.99
ttdiesti,20,13,bolivar,24.77,24.22,23.67,23.12,22.57,22.02
pcrparin,1,19,cauca,90.58,90.63,95.62,93.14,89.63,88.44
pcrparin,1,25,cundinamarca,99.39,100,100,100,99.33,99.47
ttdiesti,20,17,caldas,18.36,17.81,17.26,16.71,16.16,15.61
pcrparin,1,52,narino,97.5,97.85,98.06,98.86,99.02,99.29
ttdiesti,20,27,choco,64.1,61.54,58.98,56.41,53.85,51.28
ttdiesti,20,13,bolivar,42.67,42.67,42.67,42.67,42.67,42.67
ttdiesti,20,25,cundinamarca,15.94,15.76,15.59,15.41,15.23,15.06
ttdiesti,20,54,n.santander,16.41,16.23,16.05,15.87,15.69,15.5
ttdiesti,20,5,antioquia,17.46,17.26,17.07,16.87,16.68,16.49
ttdiesti,20,70,sucre,25.50053902,25.13643459,24.77055733,24.40390609,24.03593462,23.66600278
ttdiesti,20,52,narino,33.67,33.08,32.5,31.91,31.32,30.74
pcrparin,1,5,antioquia,99.51,99.59,99.45,99.52,99.55,99.75
pbehtaco,1,NA,NA,NA,NA,10.6,NA,NA,NA
ttdiesti,20,17,caldas,16.48308255,15.96872748,15.45487213,14.94154437,14.42934377,13.91712181
ttdiesti,20,97,vaupes,52.66,52.66,52.66,52.66,52.66,52.66
pcrparin,1,76,valle del cauca,92.79,99.29,99.16,99.55,99.55,99.45
ttdiesti,20,68,santander,24.47,24.15,23.82,23.5,23.18,22.85
pcrparin,1,97,vaupes,16.67,NA,33.33,75,66.67,100
pcrparin,1,52,narino,68.79,76.05,80.74,70.55,84.51,98.08
pcrrncpn,1,95,guaviare,66.27,62,64.92,63.07,58.19,56.74
ttdiesti,20,13,bolivar,29.12,28.47,27.82,27.17,26.53,25.88
ttdiesti,20,17,caldas,18.09,17.55,17,16.46,15.92,15.38
pcrparin,1,15,boyaca,97.96,98.15,95.83,100,100,98.31
ctrmormt,17,25,cundinamarca,24,29,21,15,18,14
ttdiesti,20,54,n.santander,13.56,13.41,13.26,13.11,12.95,12.8
ttdiesti,20,68,santander,19.41,19.41,19.41,19.41,19.41,19.41
pcrparin,1,8,atlantico,88.48,91.57,97.31,99.63,99.57,99.13
pcrperca,1,170,colombia,96.4,97.1,97.8,98.1,98.4,98.7
pcrparin,1,70,sucre,98.92,100,98.83,98.07,99.08,98.76
pcrparin,1,68,santander,77.78,73.33,62.5,97.56,100,100
ttdiesti,20,25,cundinamarca,24.89,24.34,23.79,23.23,22.68,22.13
ttdiesti,20,5,antioquia,12.44,12.3,12.16,12.02,11.89,11.75
pcrparin,1,66,risaralda,96.28,96.04,98.77,98.36,97.21,96.39
pcrparin,1,17,caldas,97.48,98.36,99.43,99.65,99.47,99.33
pcrparin,1,44,la guajira,97.47,94.29,99.59,99.25,98.4,100
pbretaia,1,94,guainia,NA,NA,NA,NA,NA,NA
pcrparin,1,13,bolivar,86.68,87.3,92.31,96.69,99.18,99.71
pcrparin,1,54,n.santander,97.37,96.39,98.16,99.31,98.55,100
pcrparin,1,50,meta,70.47,74.21,75.63,96.69,97.66,94.12
ttdiesti,20,17,caldas,14.91,14.55,14.2,13.84,13.48,13.12
pcrparin,1,8,atlantico,94.87,98.1,100,98.43,100,99.1
ttdiesti,20,13,bolivar,43.19,41.87,40.55,39.22,37.9,36.58
pcrparin,1,15,boyaca,84.56,95.24,88.29,95.07,91.77,93.92
ttdiesti,20,19,cauca,20.7,20.24,19.78,19.32,18.86,18.4
pcrparin,1,5,antioquia,99.02,97.03,92.86,94.52,100,100
pcrparin,1,13,bolivar,94.12,98.81,97.74,99.47,98.39,99.39
ttdiesti,20,70,sucre,33.04,33.04,33.04,33.04,33.04,33.04
ttdiesti,20,19,cauca,34.53,34.53,34.53,34.53,34.53,34.53
pcrparin,1,54,n.santander,94.31,96.69,97.6,96.51,97.98,96.4
ttdiesti,20,5,antioquia,16.8,16.62,16.43,16.24,16.06,15.87
cgrnacim,17,27,choco,35901,36203,37286,37378,36089,34555
ttdiesti,20,70,sucre,30.48,29.8,29.13,28.45,27.77,27.09
ttdiesti,20,41,huila,18.67,18.25,17.84,17.42,17.01,16.59
pcrrncpn,1,27,choco,71.28,69.21,70.76,71.84,71.67,71.22
igrtgfec,2,70,sucre,NA,NA,NA,NA,NA,NA
ttdiesti,20,73,tolima,22.47,22.2,21.94,21.67,21.4,21.14
ctrmormt,17,94,guainia,2,3,0,2,1,0
pcrparin,1,44,la guajira,64.27,81.66,82.3,88.18,85.49,74.89
pgeembar,1,50,meta,30.1,NA,NA,NA,NA,23.1
pcrparin,1,91,amazonas,66.67,100,72.73,84.21,85.19,55.56
ttdiesti,20,5,antioquia,9.49,9.43,9.38,9.32,9.27,9.21
ttdiesti,20,68,santander,21.43,20.57,19.72,18.86,18,17.14
ttdiesti,20,66,risaralda,20.59,20.59,20.59,20.59,20.59,20.59
pcrparin,1,73,tolima,98.17,96.3,98.42,99.05,99.69,99.54
ttdiesti,20,50,meta,22.84,22.59,22.33,22.08,21.83,21.57
ttdiesti,20,52,narino,23.76,23.24,22.71,22.18,21.65,21.12
pcrparin,1,15,boyaca,85.71,86,94.87,96.77,92.11,97.06
ttdiesti,20,19,cauca,34.43,33.67,32.9,32.14,31.37,30.61
pcrparin,1,68,santander,75.52,90.94,85.9,92.83,98.42,98.62
ttdiesti,20,97,vaupes,43.27,41.9,40.54,39.17,37.8,36.44
rtrmorpu,4,44,la guajira,131.04,155.1,162.92,101.4,212.58,154.95
pcrparin,1,17,caldas,97.28,97.52,98.46,96.62,97.79,98.4
ttdiesti,20,52,narino,18.79,18.37,17.95,17.53,17.12,16.7
pcrparin,1,15,boyaca,94.29,93.75,100,100,100,95.83
ttdiesti,20,25,cundinamarca,14.59,14.43,14.27,14.11,13.94,13.78
rtrmorpu,4,66,risaralda,69.54,45.87,52.32,92.44,48.82,59.21
ttdiesti,20,66,risaralda,19.12,18.66,18.2,17.74,17.28,16.82
cgrnacim,17,88,san andres,5208,5211,5004,4722,4757,4129
ttdiesti,20,54,n.santander,17.2,16.82,16.44,16.06,15.67,15.29
pcrparin,1,25,cundinamarca,100,99.35,98.94,99.82,99.63,99.47
ttdiesti,20,19,cauca,27.17,27.17,27.17,27.17,27.17,27.17
pcrparin,1,19,cauca,81.95,92.1,97.96,97.35,98.56,99.71
pbehtaco,1,NA,NA,NA,NA,6.74,NA,NA,NA
pcrparin,1,76,valle del cauca,98.73,99.26,98.43,97.65,99.08,97.38
ttdiesti,20,23,cordoba,27.32,27.32,27.32,27.32,27.32,27.32
pcrparin,1,50,meta,91.67,100,95,100,96.39,93.75
pcrparin,1,52,narino,96.79,82.95,89.83,90.91,96.45,95.83
ttdiesti,20,5,antioquia,56.08,54.18,52.28,50.38,48.49,46.59
ttdiesti,20,5,antioquia,25.96,25.38,24.8,24.23,23.65,23.07
ttdiesti,20,52,narino,18.68,18.47,18.27,18.06,17.85,17.64
pbepredc,1,54,n.santander,NA,NA,NA,NA,NA,9.8
pcrparin,1,25,cundinamarca,97.49,100,99.5,97.77,99.25,99.31
pcrparin,1,20,cesar,95.67,97.24,97.5,98.82,98.8,98.32
ttdiesti,20,54,n.santander,34.76,33.59,32.41,31.24,30.06,28.89
ttdiesti,20,13,bolivar,33.4,32.66,31.92,31.17,30.43,29.69
ttdiesti,20,5,antioquia,24.43,23.88,23.34,22.8,22.26,21.71
ttdiesti,20,23,cordoba,32.64,31.91,31.19,30.46,29.73,29.01
pcrparin,1,68,santander,99.18,98.99,98.77,98.15,98.89,99.34
pcrparin,1,52,narino,83.64,95,95.56,100,92.86,98.48
ttdiesti,20,73,tolima,27.97,27.97,27.97,27.97,27.97,27.97
ttdiesti,20,25,cundinamarca,14.6,14.28,13.95,13.63,13.3,12.98
ttdiesti,20,91,amazonas,91.97,91.97,91.97,91.97,91.97,91.97
pcrparin,1,86,putumayo,97.1,97.79,94.97,97.78,96.86,95.24
pcrparin,1,19,cauca,68.42,76.79,95.31,93.75,94.12,91.03
ttdiesti,20,86,putumayo,24.26,23.72,23.18,22.64,22.1,21.56
pbretaia,1,13,bolivar,NA,NA,NA,NA,NA,100
pcrparin,1,76,valle del cauca,99.12,98.35,99.46,98.28,98.57,98.17
pcrparin,1,15,boyaca,92.31,100,100,75,100,100
pcrparin,1,73,tolima,90.97,93.26,96,97.98,100,100
pcrparin,1,20,cesar,85.3,84.9,88.61,90.28,91.86,92.61
pcrparin,1,27,choco,100,100,91.3,90.91,91.3,91.07
pcrparin,1,17,caldas,96.98842247,97.54234725,97.991479,98.58433976,98.84176609,99.14514202
pcrparin,1,68,santander,67.08,73.33,84.07,81.65,83.65,92.31
rtrmorpu,4,81,arauca,59.02,37.17,108.08,82.76,42.52,111.33
pcrparin,1,20,cesar,96.71,95.83,97.16,97.35,99.16,97.99
cgrnacim,17,18,caqueta,14079,13224,13144,12503,11483,10879
ttdiesti,20,47,magdalena,32.05,31.34,30.63,29.91,29.2,28.49
ptrldeng,1,25,cundinamarca,NA,NA,0,2.47,4.26,1.7
ttdiesti,20,20,cesar,23.65,23.12,22.6,22.07,21.55,21.02
ttdiesti,20,5,antioquia,16.78,16.6,16.41,16.22,16.04,15.85
ttdiesti,20,25,cundinamarca,20.43,20.21,19.98,19.75,19.53,19.3
pbrmivih,1,70,sucre,NA,NA,NA,NA,12.5,3.8
ttdiesti,20,41,huila,20.97,20.5,20.03,19.57,19.1,18.64
ttdiesti,20,13,bolivar,18.95,18.52,18.1,17.68,17.26,16.84
ttdnesti,20,85,casanare,47.3646584,44.80880128,42.25294416,39.69708704,37.14122992,34.5853728
pcrparin,1,41,huila,96.67,99.02,98.08,100,97.78,100
ttdnesti,20,52,narino,58.93805014,53.28158298,47.62511583,41.96864867,36.31218151,30.65571436
pbepredc,1,73,tolima,NA,NA,NA,NA,NA,10.7
pcrparin,1,5,antioquia,98.28,98.1,98.78,98.72,99.32,99.77
pcrparin,1,63,quindio,99.4,98,98.68,99.23,99.19,99.26
pcrparin,1,41,huila,74.02,78.23,80.79,81.03,88.57,89.52
pcrparin,1,20,cesar,95.59,96.18,97.21,97.63,97.94,98.75
pcrparin,1,44,la guajira,98.01,98.42,98.74,98.15,97.5,99.46
ttdiesti,20,50,meta,30.1,30.1,30.1,30.1,30.1,30.1
ttdiesti,20,18,caqueta,27.52,26.91,26.3,25.69,25.08,24.46
pbrmivih,1,91,amazonas,NA,NA,NA,NA,NA,50
ttdiesti,20,41,huila,17.32,17.13,16.94,16.75,16.55,16.36
