,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,,,,,,,,,,,,,,,,CABECERA,,,,,,,,,,,,,,,,RESTO,,,,,,,,,,,,,,,
Código,Departamento,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
73,Tolima,"1,365,342","1,369,950","1,374,481","1,378,937","1,383,323","1,387,641","1,391,890","1,396,077","1,400,203","1,404,268","1,408,274","1,412,230","1,416,125","1,419,957","1,423,724","1,427,423","896,095","903,877","911,421","918,772","925,885","932,770","939,446","945,931","952,184","958,228","964,103","969,796","975,353","980,713","985,893","990,938","469,247","466,073","463,060","460,165","457,438","454,871","452,444","450,146","448,019","446,040","444,171","442,434","440,772","439,244","437,831","436,485"
76,Valle del Cauca,"4,161,425","4,204,972","4,248,913","4,293,230","4,337,909","4,382,939","4,428,342","4,474,084","4,520,166","4,566,593","4,613,377","4,660,438","4,707,890","4,755,760","4,804,082","4,852,896","3,593,410","3,636,917","3,680,312","3,723,878","3,767,597","3,811,435","3,855,515","3,899,773","3,944,168","3,988,765","4,033,572","4,078,539","4,123,752","4,169,288","4,215,180","4,261,438","568,015","568,055","568,601","569,352","570,312","571,504","572,827","574,311","575,998","577,828","579,805","581,899","584,138","586,472","588,902","591,458"
81,Arauca,"232,118","235,252","238,361","241,446","244,507","247,541","250,569","253,565","256,527","259,447","262,315","265,190","267,992","270,708","273,321","275,814","140,445","142,994","145,532","148,031","150,556","153,061","155,561","158,072","160,563","163,024","165,464","167,907","170,305","172,650","174,935","177,123","91,673","92,258","92,829","93,415","93,951","94,480","95,008","95,493","95,964","96,423","96,851","97,283","97,687","98,058","98,386","98,691"
85,Casanare,"295,353","301,361","307,387","313,433","319,502","325,596","331,714","337,858","344,027","350,221","356,438","362,698","368,973","375,258","381,544","387,822","200,952","207,795","214,492","221,080","227,549","233,919","240,184","246,353","252,438","258,434","264,342","270,189","275,944","281,609","287,209","292,700","94,401","93,566","92,895","92,353","91,953","91,677","91,530","91,505","91,589","91,787","92,096","92,509","93,029","93,649","94,335","95,122"
86,Putumayo,"310,132","313,126","316,209","319,390","322,681","326,093","329,598","333,247","337,054","341,034","345,204","349,537","354,094","358,896","363,967","369,332","135,616","138,886","142,151","145,411","148,659","151,916","155,164","158,431","161,734","165,095","168,535","172,016","175,606","179,323","183,189","187,224","174,516","174,240","174,058","173,979","174,022","174,177","174,434","174,816","175,320","175,939","176,669","177,521","178,488","179,573","180,778","182,108"
88,Archipiélago de San Andrés,"70,554","71,075","71,613","72,167","72,735","73,320","73,925","74,541","75,167","75,801","76,442","77,101","77,759","78,413","79,060","79,693","50,473","50,880","51,298","51,728","52,166","52,617","53,081","53,552","54,030","54,513","54,999","55,498","55,994","56,487","56,973","57,448","20,081","20,195","20,315","20,439","20,569","20,703","20,844","20,989","21,137","21,288","21,443","21,603","21,765","21,926","22,087","22,245"
91,Amazonas,"67,726","68,613","69,474","70,313","71,167","72,017","72,858","73,699","74,541","75,388","76,243","77,088","77,948","78,830","79,739","80,682","25,659","25,979","26,287","26,586","26,875","27,153","27,421","27,679","27,926","28,163","28,390","28,607","28,812","29,009","29,195","29,370","42,067","42,634","43,187","43,727","44,292","44,864","45,437","46,020","46,615","47,225","47,853","48,481","49,136","49,821","50,544","51,312"
94,Guainía,"35,230","35,846","36,464","37,084","37,705","38,328","38,949","39,574","40,203","40,839","41,482","42,123","42,777","43,446","44,134","44,844","10,793","11,024","11,247","11,460","11,663","11,858","12,040","12,215","12,381","12,539","12,690","12,829","12,961","13,090","13,215","13,339","24,437","24,822","25,217","25,624","26,042","26,470","26,909","27,359","27,822","28,300","28,792","29,294","29,816","30,356","30,919","31,505"
95,Guaviare,"95,551","97,135","98,688","100,208","101,759","103,307","104,846","106,386","107,934","109,490","111,060","112,621","114,207","115,829","117,494","119,214","49,789","51,380","52,935","54,456","56,001","57,540","59,066","60,586","62,107","63,626","65,150","66,660","68,181","69,723","71,293","72,897","45,762","45,755","45,753","45,752","45,758","45,767","45,780","45,800","45,827","45,864","45,910","45,961","46,026","46,106","46,201","46,317"
97,Vaupés,"39,279","39,741","40,198","40,649","41,094","41,534","41,965","42,392","42,817","43,240","43,665","44,079","44,500","44,928","45,367","45,822","13,876","14,201","14,523","14,836","15,144","15,445","15,737","16,024","16,306","16,584","16,864","17,132","17,403","17,679","17,960","18,252","25,403","25,540","25,675","25,813","25,950","26,089","26,228","26,368","26,511","26,656","26,801","26,947","27,097","27,249","27,407","27,570"
99,Vichada,"55,872","57,344","58,885","60,494","62,071","63,670","65,282","66,917","68,575","70,260","71,974","73,702","75,468","77,276","79,134","81,048","21,035","22,066","23,092","24,116","25,133","26,150","27,158","28,166","29,170","30,175","31,181","32,182","33,188","34,200","35,224","36,263","34,837","35,278","35,793","36,378","36,938","37,520","38,124","38,751","39,405","40,085","40,793","41,520","42,280","43,076","43,910","44,785"
00,Total Nacional,"42,888,592","43,405,387","43,926,034","44,450,260","44,977,758","45,508,205","46,043,696","46,581,372","47,120,770","47,661,368","48,202,617","48,747,632","49,291,925","49,834,727","50,375,194","50,912,429","31,889,311","32,386,600","32,888,654","33,396,133","33,892,207","34,387,230","34,882,971","35,377,018","35,869,155","36,358,969","36,846,247","37,332,889","37,816,261","38,295,753","38,771,133","39,241,757","10,999,281","11,018,787","11,037,380","11,054,127","11,085,551","11,120,975","11,160,725","11,204,354","11,251,615","11,302,399","11,356,370","11,414,743","11,475,664","11,538,974","11,604,061","11,670,672"
