iddepto,idindicador,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010
19.0,ttdnesti,63.90372979,56.89703138,49.89033296,42.88363455,35.87693614,28.87023772
20.0,caelacex,,,,,,0.7
20.0,cgrnacim,18263.0,18541.0,17125.0,17319.0,17530.0,17039.0
20.0,ctrmormt,7.0,12.0,12.0,13.0,9.0,22.0
20.0,pbehtaco,,,6.5,,,
20.0,pbepredc,11.5,,,,,11.7
20.0,pbepredg,,,,,,3.3
20.0,pbretaia,,,,,,50.0
20.0,pbrmivih,,,,7.7,20.0,6.3
20.0,pcrparin,91.6158890723077,93.93631236884615,95.26734814846155,95.63292828,97.04904682499999,97.304793445
20.0,pcrperca,92.98658047,94.57156534,96.02359302,96.44214326,97.32327358,98.08655794
20.0,pcrrncpn,81.57,83.33,84.14,84.77,85.04,84.71
20.0,pgeembar,27.9,,,,,26.7
20.0,ptrldeng,,,14.28,0.0,1.79,7.0
20.0,rtrmorpu,34.28,57.44,58.98,61.75,43.25,117.26
20.0,ttdiesti,25.071584468846158,24.605690544999998,24.137890103461537,23.670859727692307,23.204983341153845,22.737971144999996
20.0,ttdnesti,49.56380156,44.4539849,39.34416823,34.23435156,29.12453489,24.01471822
23.0,caelacex,,,,,,1.0
23.0,cgrnacim,20418.0,20890.0,20345.0,21052.0,20809.0,18762.0
23.0,ctrmormt,7.0,14.0,35.0,23.0,18.0,34.0
23.0,pbehtaco,,,6.7,,,
23.0,pbepredc,15.0,,,,,16.4
23.0,pbepredg,,,,,,4.3
23.0,pbretaia,,,,,,66.66666667
23.0,pbrmivih,,,,,17.6,9.8
23.0,pcrparin,97.55610341655175,97.97571310827588,99.08470814655172,98.79307034580644,98.89578714387096,99.0636471367742
23.0,pcrperca,97.75438596,98.41760102,99.27733026,98.92100046,99.25182199,99.33920705
23.0,pcrrncpn,78.46,80.22,81.75,80.81,80.4,85.16
23.0,pgeembar,19.7,,,,,17.7
23.0,ptrldeng,,,0.0,0.92,6.25,7.0
23.0,rtrmorpu,25.85,59.23,161.1,87.69,69.78,146.84
23.0,ttdiesti,28.963191593548387,28.48344342354838,28.00373613903226,27.524079590967737,27.044798512903224,26.565563797741934
23.0,ttdnesti,44.37386059,41.97502654,39.57619249,37.17735844,34.77852439,32.37969034
25.0,caelacex,,,,,,0.7
25.0,cgrnacim,27075.0,23635.0,21725.0,26228.0,25796.0,23154.0
25.0,ctrmormt,24.0,29.0,21.0,15.0,18.0,14.0
25.0,pbehtaco,,,9.1,,,
25.0,pbepredc,,,,,,13.1
25.0,pbepredg,,,,,,2.5
25.0,pbretaia,,,,,,100.0
25.0,pbrmivih,,,,14.3,,8.3
25.0,pcrparin,98.32700760666663,98.25300529709405,98.32622725427356,98.39050137811968,98.27970687376066,98.46760179179486
25.0,pcrperca,99.06687836,99.26249206,99.30805128,99.30440366,99.41810524,99.43568225
25.0,pcrrncpn,86.02,85.87,86.18,85.85,85.41,87.5
25.0,pgeembar,17.2,,,,,23.8
25.0,ptrldeng,,,0.0,2.47,4.26,1.7
25.0,rtrmorpu,66.85,80.1,56.32,40.13,49.88,40.52
25.0,ttdiesti,17.88884205923077,17.639745909401707,17.389538670256407,17.13958982478632,16.889640997350426,16.640548957350433
25.0,ttdnesti,30.82480764,28.097862,25.37091636,22.64397072,19.91702508,17.19007944
27.0,caelacex,,,,,,0.7
27.0,cgrnacim,35901.0,36203.0,37286.0,37378.0,36089.0,34555.0
27.0,ctrmormt,13.0,12.0,11.0,11.0,6.0,10.0
27.0,pbehtaco,,,10.7,,,
27.0,pbepredc,,,,,,15.7
27.0,pbepredg,,,,,,6.3
27.0,pbrmivih,,,,,25.0,33.3
27.0,pcrparin,82.93399094709677,80.1447484996774,83.31677128129031,86.77030311451617,90.93932841000002,87.87199951580642
27.0,pcrperca,90.81258444,89.97726412,90.03363427,92.15158046,95.23291644,93.99678399
27.0,pcrrncpn,71.28,69.21,70.76,71.84,71.67,71.22
27.0,pgeembar,25.8,,,,,29.4
27.0,ptrldeng,,,0.0,0.0,33.33,4.0
27.0,rtrmorpu,250.92,227.36,194.72,197.56,108.75,178.67
27.0,ttdiesti,47.87979785870967,46.97356168129032,46.06756541451613,45.16245395032258,44.256699023225806,43.35230086709677
27.0,ttdnesti,102.6870083,93.05588917,83.42477,73.79365083,64.16253167,54.5314125
41.0,caelacex,,,,,,1.1
41.0,cgrnacim,5181.0,5278.0,5649.0,5568.0,5517.0,5597.0
41.0,ctrmormt,8.0,17.0,14.0,8.0,4.0,9.0
41.0,pbehtaco,,,9.5,,,
41.0,pbepredc,13.3,,,,,11.7
41.0,pbepredg,,,,,,2.9
41.0,pbretaia,,,,,,52.17391304
41.0,pbrmivih,,,,5.9,9.1,
41.0,pcrparin,87.36767116702704,90.91919815864865,92.56236252945942,93.21078563108108,94.10656580135134,95.32499927729728
41.0,pcrperca,90.65778757,93.88708755,95.16090584,95.61663829,96.19480192,96.75935829
41.0,pcrrncpn,82.72,85.73,88.25,89.99,91.12,90.97
41.0,pgeembar,19.0,,,,,19.3
41.0,ptrldeng,,,25.0,0.31,0.68,1.0
41.0,rtrmorpu,38.33,81.06,66.75,38.92,20.19,48.13
41.0,ttdiesti,22.145631371578947,21.744263071578946,21.343193318684214,20.942158650526313,20.540907676052637,20.139944693421047
41.0,ttdnesti,41.71927105,37.60661159,33.49395213,29.38129266,25.2686332,21.15597373
44.0,caelacex,,,,,,1.1
44.0,cgrnacim,20873.0,20972.0,20975.0,20555.0,19815.0,18700.0
44.0,ctrmormt,15.0,19.0,20.0,13.0,27.0,19.0
44.0,pbehtaco,,,4.6,,,
44.0,pbepredc,24.7,,,,,27.9
44.0,pbepredg,,,,,,11.2
44.0,pbretaia,,,,,,66.66666667
44.0,pbrmivih,,,,5.0,20.0,
44.0,pcrparin,91.93803529312501,93.570535714375,94.38617648249999,93.87654078249999,96.78831715999999,96.675074620625
44.0,pcrperca,94.55752599,94.39183673,94.64809384,93.51064659999999,95.85072042,96.12624368
44.0,pcrrncpn,71.34,73.27,75.57,72.9,74.47,71.14
44.0,pgeembar,15.4,,,,,25.8
44.0,ptrldeng,,,0.0,8.0,2.7,1.0
44.0,rtrmorpu,131.04,155.1,162.92,101.4,212.58,154.95
44.0,ttdiesti,30.986756184375,30.250118628750005,29.514662066250008,28.780399540624998,28.04612395375,27.311256614375004
44.0,ttdnesti,50.06465435,48.10460895,46.14456354,44.18451813,42.22447273,40.26442732
47.0,caelacex,,,,,,0.6
47.0,cgrnacim,11447.0,12250.0,12276.0,12821.0,12701.0,12262.0
47.0,ctrmormt,23.0,18.0,29.0,27.0,22.0,27.0
47.0,pbehtaco,,,9.1,,,
47.0,pbepredc,17.0,,,,,18.0
47.0,pbepredg,,,,,,6.8
47.0,pbretaia,,,,,,72.72727273
47.0,pbrmivih,,,,15.0,,7.1
47.0,pcrparin,96.09391862,96.77806811533335,96.34676381200002,97.08613446133334,97.92437279399999,98.24313227600003
47.0,pcrperca,97.73680198,98.28639684,98.29440619,98.63032093,98.89468836,99.24957523
47.0,pcrrncpn,79.95,78.92,76.89,80.03,80.78,83.69
47.0,pgeembar,21.5,,,,,20.4
47.0,ptrldeng,,,3.225,0.0,3.335,8.5
47.0,rtrmorpu,109.59,82.69,130.51,120.85,96.5,127.43
47.0,ttdiesti,25.314604935806447,24.848482962903226,24.381119566129033,23.91448204096774,23.44695400419355,22.981111481290323
47.0,ttdnesti,40.59079022,37.08742145,33.58405269,30.08068392,26.57731515,23.07394638
50.0,caelacex,,,,,,2.0
50.0,cgrnacim,20988.0,21767.0,22221.0,22341.0,22799.0,21188.0
50.0,ctrmormt,11.0,11.0,15.0,6.0,8.0,7.0
50.0,pbehtaco,,,6.6,,,
50.0,pbepredc,,,,,,7.7
50.0,pbepredg,,,,,,1.8
50.0,pbretaia,,,,,,0.0
50.0,pbrmivih,,,,7.7,5.9,12.5
50.0,pcrparin,88.48447531733333,89.8645225816667,92.37648474466667,95.12477755233333,95.68896953899998,96.40990873799998
50.0,pcrperca,93.47443788,94.52825014,95.32975906,97.67869601,97.92135916,98.35913722
50.0,pcrrncpn,79.44,78.95,80.93,79.3,79.93,79.93
50.0,pgeembar,30.1,,,,,23.1
50.0,ptrldeng,,,9.52,1.22,2.03,3.0
50.0,rtrmorpu,69.09,75.43,96.89,38.05,51.48,46.31
50.0,ttdiesti,30.13210641533333,29.760464207666654,29.388293752666666,29.016616438666663,28.645063165,28.27232461766666
50.0,ttdnesti,44.95125743,42.96516078,40.97906413,38.99296748,37.00687084,35.02077419
52.0,caelacex,,,,,,3.8
52.0,cgrnacim,15922.0,14584.0,15481.0,15767.0,15539.0,15114.0
52.0,ctrmormt,18.0,17.0,20.0,17.0,22.0,13.0
52.0,pbehtaco,,,8.4,,,
52.0,pbepredc,20.0,,,,,16.9
52.0,pbepredg,,,,,,3.9
52.0,pbretaia,,,,,,51.72413793
52.0,pbrmivih,,,,7.7,15.4,4.5
52.0,pcrparin,85.65505804578126,87.85892269328124,90.16939596593751,91.58867939593749,94.23642705265625,95.33704248999997
52.0,pcrperca,90.56153944,93.29820958,94.2422743,94.98298912,96.25644805,96.87816853
52.0,pcrrncpn,76.89,77.07,79.37,80.08,80.16,82.15
52.0,pgeembar,13.1,,,,,21.8
52.0,ptrldeng,,,0.0,0.0,0.0,100.0
52.0,rtrmorpu,76.63,75.9,89.96,81.46,108.08,69.37
52.0,ttdiesti,25.65382095615384,25.272812647230772,24.891954023538464,24.511552724307684,24.130685618769235,23.75026886076924
52.0,ttdnesti,58.93805014,53.28158298,47.62511583,41.96864867,36.31218151,30.65571436
54.0,caelacex,,,,,,0.7
54.0,cgrnacim,23489.0,22397.0,22231.0,20869.0,20355.0,18739.0
54.0,ctrmormt,17.0,13.0,11.0,6.0,11.0,19.0
54.0,pbehtaco,,,6.6,,,
54.0,pbepredc,,,,,,9.8
54.0,pbepredg,,,,,,2.9
54.0,pbretaia,,,,,,75.0
54.0,pbrmivih,,,,14.3,,5.9
54.0,pcrparin,95.85072611536586,95.68960191560977,96.8295791539024,97.88031623243903,97.45327882439024,97.68186299585363
54.0,pcrperca,96.58960642,96.13119507,98.0062477,98.70460328,98.43950799,99.06482256
54.0,pcrrncpn,75.09,79.71,79.65,83.11,80.91,84.62
54.0,pgeembar,20.5,,,,,17.1
54.0,ptrldeng,,,0.59,0.12,0.0,1.7
54.0,rtrmorpu,81.2,58.89,50.53,27.76,50.49,93.52
54.0,ttdiesti,18.118450369999998,17.82085895926829,17.523460985853667,17.22674137560976,16.92899023414634,16.631904532195115
54.0,ttdnesti,28.974211800000003,26.40470949,23.83520718,21.26570486,18.69620255,16.12670024
63.0,caelacex,,,,,,1.1
63.0,cgrnacim,20936.0,22074.0,21768.0,21615.0,21788.0,20317.0
63.0,ctrmormt,5.0,1.0,6.0,2.0,0.0,4.0
63.0,pbehtaco,,,11.2,,,
63.0,pbepredc,,,,,,9.6
63.0,pbepredg,,,,,,3.5
63.0,pbretaia,,,,,,0.0
63.0,pbrmivih,,,,,0.0,0.0
63.0,pcrparin,97.64460020307692,98.53974485538461,98.87259825615385,98.96936447923076,98.85623198153847,98.69190225461537
63.0,pcrperca,98.57314309,98.77309265,98.78519365,99.24231169,99.3422059,99.49601691
63.0,pcrrncpn,85.06,85.8,87.69,88.75,90.5,91.84
63.0,pgeembar,17.7,,,,,14.6
63.0,ptrldeng,,,0.0,0.0,0.0,17.0
63.0,rtrmorpu,66.68,14.1,85.75,29.71,0.0,65.03
63.0,ttdiesti,17.14936601923077,16.696980984615383,16.24450796076923,15.790591595384614,15.338986332307694,14.884215580000001
63.0,ttdnesti,21.61257452,20.35863652,19.10469853,17.85076053,16.59682254,15.34288454
66.0,caelacex,,,,,,2.1
66.0,cgrnacim,7499.0,7091.0,6997.0,6731.0,6537.0,6151.0
66.0,ctrmormt,9.0,6.0,7.0,12.0,6.0,7.0
66.0,pbehtaco,,,11.1,,,
66.0,pbepredc,,,,,,10.4
66.0,pbepredg,,,,,,2.0
66.0,pbretaia,,,,,,33.33333333
66.0,pbrmivih,,,,15.4,14.3,33.3
66.0,pcrparin,95.39309792399999,95.14446219733333,95.67581573133332,96.081043628,95.89627689666665,94.68629357666667
66.0,pcrperca,98.35419564,98.53222231,98.55744077,98.69809722,98.50296965,98.28286246
66.0,pcrrncpn,85.11,85.82,86.7,86.86,87.14,90.61
66.0,pgeembar,21.4,,,,,20.0
66.0,ptrldeng,,,0.0,0.0,0.0,2.0
66.0,rtrmorpu,69.54,45.87,52.32,92.44,48.82,59.21
66.0,ttdiesti,19.913770754,19.463164186666667,19.010626019333337,18.560741557333337,18.10884529,17.657684114
66.0,ttdnesti,23.50623434,22.40501821,21.30380207,20.20258594,19.1013698,18.00015366
68.0,caelacex,,,,,,2.9
68.0,cgrnacim,12942.0,13081.0,13379.0,12981.0,12291.0,11822.0
68.0,ctrmormt,17.0,17.0,12.0,13.0,13.0,13.0
68.0,pbehtaco,,,6.7,,,
68.0,pbepredc,,,,,,8.6
68.0,pbepredg,,,,,,3.4
68.0,pbretaia,,,,,,80.0
68.0,pbrmivih,,,,18.2,4.2,
68.0,pcrparin,90.91852350534089,92.10164209647726,93.90968231306819,95.90318919045454,95.45710176329543,97.39485327477273
68.0,pcrperca,95.34635563,96.49756605,97.41271429999999,98.36055564,98.95774741,99.28848424
68.0,pcrrncpn,84.8,85.56,86.74,88.47,89.38,90.09
68.0,pgeembar,17.8,,,,,16.1
68.0,ptrldeng,,,0.24,0.2,0.3,1.0
68.0,rtrmorpu,50.39,52.05,37.54,39.69,43.01,43.84
68.0,ttdiesti,22.68473327488637,22.13913575034091,21.594206968977268,21.04846991886364,20.50362960568182,19.958208763863638
68.0,ttdnesti,28.69716921,26.31381405,23.930458899999998,21.54710374,19.16374858,16.78039343
70.0,caelacex,,,,,,0.5
70.0,cgrnacim,33737.0,32663.0,31964.0,32755.0,30223.0,29655.0
70.0,ctrmormt,8.0,10.0,15.0,7.0,12.0,9.0
70.0,pbehtaco,,,7.9,,,
70.0,pbepredc,11.0,,,,,14.3
70.0,pbepredg,,,,,,4.9
70.0,pbretaia,,,,,,63.15789474
70.0,pbrmivih,,,,,12.5,3.8
70.0,pcrparin,97.53818217846153,97.76147976538462,97.8877459523077,98.17355228461537,98.28844430000002,98.24078232692305
70.0,pcrperca,97.83000644,97.86824279,98.37787528,98.30222833,98.54671725,98.91152665
70.0,pcrrncpn,77.91,77.67,79.46,81.17,82.1,83.18
70.0,pgeembar,19.1,,,,,19.7
70.0,ptrldeng,,,0.0,0.0,0.0,13.0
70.0,rtrmorpu,51.51,66.41,99.72,43.69,77.17,62.8
70.0,ttdiesti,27.576686630370368,27.162090169999995,26.748168789999998,26.33421874407408,25.91947906,25.50466676962963
70.0,ttdnesti,34.334497999999996,33.24406099,32.15362398,31.06318698,29.97274997,28.88231296
73.0,caelacex,,,,,,3.3
73.0,cgrnacim,15530.0,15058.0,15042.0,16021.0,15551.0,14332.0
73.0,ctrmormt,18.0,20.0,14.0,13.0,10.0,15.0
73.0,pbehtaco,,,9.9,,,
73.0,pbepredc,,,,,,10.7
73.0,pbepredg,,,,,,2.2
73.0,pbretaia,,,,,,90.90909091
73.0,pbrmivih,,,,20.0,5.9,
73.0,pcrparin,89.79978366250002,91.40456658916663,93.87090333354166,95.14033152812499,96.44015271750004,97.828873358125
73.0,pcrperca,92.74951706,94.30551899999999,95.67609348,96.56366911,97.44629496,98.45147442
73.0,pcrrncpn,75.22,76.32,78.98,80.81,82.8,85.63
73.0,pgeembar,20.5,,,,,18.7
73.0,ptrldeng,,,0.0,0.0,0.0,6.0
73.0,rtrmorpu,77.27,87.74,63.65,60.04,48.27,76.66
73.0,ttdiesti,23.031665871666664,22.826532412499997,22.621158441666665,22.415558188958332,22.209297214791665,22.00384037770834
